E-COMMERCE ANALYTICS REPORT
SQL FILE: advanced_queries.sql
================================================================================

REPORT 1
--------------------------------------------------------------------------------
region_code | order_date | daily_revenue | running_total
CENTRAL | 2024-06-16 | 561597.35 | 7587605.82
CENTRAL | 2024-06-28 | 68093.81 | 7655699.63
CENTRAL | 2024-07-02 | 88013.03 | 7743712.66
CENTRAL | 2024-07-10 | 327259.71 | 8070972.37
CENTRAL | 2024-07-22 | 135214.13 | 8206186.5
CENTRAL | 2024-07-23 | 235459.84 | 8441646.34
CENTRAL | 2024-07-24 | 32941.05 | 8474587.39
CENTRAL | 2024-08-01 | 97188.98 | 8571776.37
CENTRAL | 2024-08-02 | 456751.02 | 9028527.39
CENTRAL | 2024-08-03 | 405516.82 | 9434044.21
CENTRAL | 2024-08-07 | 374892.98 | 9808937.19
CENTRAL | 2024-08-09 | 121025.32 | 9929962.51
CENTRAL | 2024-08-18 | 302749.19 | 10232711.7
CENTRAL | 2024-08-21 | 52133.02 | 10284844.72
CENTRAL | 2024-08-23 | 11204.41 | 10296049.13
CENTRAL | 2024-08-31 | 214701.54 | 10510750.67
CENTRAL | 2024-09-16 | 13517.58 | 10524268.25
CENTRAL | 2024-09-21 | 103090.31 | 10627358.56
CENTRAL | 2024-09-29 | 370782.27 | 10998140.83
CENTRAL | 2024-10-07 | 90134.97 | 11088275.8
CENTRAL | 2024-10-14 | 283774.81 | 11372050.61
CENTRAL | 2024-10-17 | 157883.65 | 11529934.26
CENTRAL | 2024-10-19 | 17115.79 | 11547050.05
CENTRAL | 2024-10-23 | 557769.37 | 12104819.42
CENTRAL | 2024-10-28 | 127284.55 | 12232103.97
CENTRAL | 2024-11-05 | 427065.51 | 12659169.48
CENTRAL | 2024-11-12 | 794406.08 | 13453575.56
CENTRAL | 2024-11-13 | 2232.79 | 13455808.35
CENTRAL | 2024-11-25 | 383615.51 | 13839423.86
CENTRAL | 2024-11-27 | 87529.38 | 13926953.24
CENTRAL | 2024-12-01 | 143105.0 | 14070058.24
CENTRAL | 2024-12-05 | 162641.95 | 14232700.19
CENTRAL | 2024-12-06 | 162490.63 | 14395190.82
CENTRAL | 2024-12-10 | 268164.86 | 14663355.68
CENTRAL | 2024-12-15 | 167949.44 | 14831305.12
CENTRAL | 2024-12-16 | 36665.99 | 14867971.11
CENTRAL | 2024-12-27 | 392908.93 | 15260880.04
CENTRAL | 2025-01-01 | 484430.41 | 15745310.45
CENTRAL | 2025-01-09 | 165654.23 | 15910964.68
CENTRAL | 2025-01-14 | 119864.74 | 16030829.42
CENTRAL | 2025-01-20 | 196416.96 | 16227246.38
CENTRAL | 2025-01-26 | 746622.26 | 16973868.64
CENTRAL | 2025-01-28 | 434537.91 | 17408406.55
CENTRAL | 2025-02-03 | 130328.06 | 17538734.61
CENTRAL | 2025-02-08 | 468067.27 | 18006801.88
CENTRAL | 2025-02-11 | 195072.64 | 18201874.52
CENTRAL | 2025-02-15 | 32968.3 | 18234842.82
CENTRAL | 2025-02-17 | 145362.89 | 18380205.71
CENTRAL | 2025-02-19 | 99044.13 | 18479249.84
CENTRAL | 2025-03-01 | 303115.06 | 18782364.9
CENTRAL | 2025-03-06 | 101329.41 | 18883694.31
CENTRAL | 2025-03-08 | 322793.5 | 19206487.81
CENTRAL | 2025-03-17 | 284521.96 | 19491009.77
CENTRAL | 2025-03-18 | 230009.43 | 19721019.2
CENTRAL | 2025-03-21 | 47763.72 | 19768782.92
CENTRAL | 2025-03-26 | 436348.07 | 20205130.99
CENTRAL | 2025-03-29 | -70810.91 | 20134320.08
CENTRAL | 2025-03-31 | 34338.62 | 20168658.7
CENTRAL | 2025-04-02 | 71988.5 | 20240647.2
CENTRAL | 2025-04-04 | 326830.94 | 20567478.14
CENTRAL | 2025-04-09 | 227824.45 | 20795302.59
CENTRAL | 2025-04-12 | 41424.39 | 20836726.98
CENTRAL | 2025-04-18 | 291373.15 | 21128100.13
CENTRAL | 2025-04-20 | 360624.49 | 21488724.62
CENTRAL | 2025-04-23 | 115839.98 | 21604564.6
CENTRAL | 2025-05-01 | 102932.77 | 21707497.37
CENTRAL | 2025-05-19 | 422101.45 | 22129598.82
CENTRAL | 2025-05-27 | 198397.34 | 22327996.16
CENTRAL | 2025-06-01 | 297591.35 | 22625587.51
CENTRAL | 2025-06-06 | 91920.61 | 22717508.12
CENTRAL | 2025-06-07 | 9781.53 | 22727289.65
CENTRAL | 2025-06-18 | 514951.58 | 23242241.23
CENTRAL | 2025-06-20 | 216771.66 | 23459012.89
CENTRAL | 2025-06-21 | 137693.4 | 23596706.29
CENTRAL | 2025-06-22 | 224880.68 | 23821586.97
CENTRAL | 2025-06-25 | -8717.01 | 23812869.96
CENTRAL | 2025-06-30 | 601337.12 | 24414207.08
CENTRAL | 2025-07-01 | 224608.37 | 24638815.45
CENTRAL | 2025-07-06 | 222050.21 | 24860865.66
CENTRAL | 2025-07-08 | 320540.69 | 25181406.35
CENTRAL | 2025-07-14 | 119872.62 | 25301278.97
CENTRAL | 2025-07-27 | 318342.69 | 25619621.66
CENTRAL | 2025-08-02 | 825267.08 | 26444888.74
CENTRAL | 2025-08-09 | 76197.29 | 26521086.03
CENTRAL | 2025-08-12 | 63319.29 | 26584405.32
CENTRAL | 2025-08-13 | 121212.19 | 26705617.51
CENTRAL | 2025-08-15 | 304855.01 | 27010472.52
CENTRAL | 2025-08-16 | 313270.09 | 27323742.61
CENTRAL | 2025-08-19 | 49960.56 | 27373703.17
CENTRAL | 2025-08-29 | 215379.82 | 27589082.99
CENTRAL | 2025-09-03 | 107376.66 | 27696459.65
CENTRAL | 2025-09-06 | 384048.02 | 28080507.67
CENTRAL | 2025-09-07 | 271.39 | 28080779.06
CENTRAL | 2025-09-12 | 16610.95 | 28097390.01
CENTRAL | 2025-09-15 | 17667.65 | 28115057.66
CENTRAL | 2025-09-17 | 251974.67 | 28367032.33
CENTRAL | 2025-09-19 | 288002.76 | 28655035.09
CENTRAL | 2025-09-25 | 13564.39 | 28668599.48
CENTRAL | 2025-09-29 | 124621.05 | 28793220.53
CENTRAL | 2025-10-04 | 173906.97 | 28967127.5
CENTRAL | 2025-10-08 | 29733.99 | 28996861.49
CENTRAL | 2025-10-25 | -17983.05 | 28978878.44
CENTRAL | 2025-10-31 | 78700.83 | 29057579.27
CENTRAL | 2025-11-02 | 98550.24 | 29156129.51
CENTRAL | 2025-11-09 | -42460.06 | 29113669.45
CENTRAL | 2025-11-20 | 574.08 | 29114243.53
CENTRAL | 2025-11-27 | 101019.03 | 29215262.56
CENTRAL | 2025-11-29 | 257014.19 | 29472276.75
CENTRAL | 2025-12-05 | 406142.04 | 29878418.79
CENTRAL | 2025-12-13 | 165161.9 | 30043580.69
CENTRAL | 2025-12-21 | 25713.84 | 30069294.53
CENTRAL | 2025-12-28 | 89101.18 | 30158395.71
CENTRAL | 2025-12-31 | 158498.25 | 30316893.96
CENTRAL | 2026-01-19 | 5601.91 | 30322495.87
CENTRAL | 2026-01-20 | 121558.64 | 30444054.51
CENTRAL | 2026-01-23 | 239216.44 | 30683270.95
CENTRAL | 2026-02-11 | 195482.84 | 30878753.79
CENTRAL | 2026-02-14 | 12736.79 | 30891490.58
CENTRAL | 2026-02-16 | -31791.2 | 30859699.38
CENTRAL | 2026-02-18 | 42868.51 | 30902567.89
CENTRAL | 2026-02-25 | 597507.28 | 31500075.17
CENTRAL | 2026-03-05 | 25913.39 | 31525988.56
CENTRAL | 2026-03-06 | 407813.87 | 31933802.43
CENTRAL | 2026-03-18 | 85851.62 | 32019654.05
CENTRAL | 2026-03-19 | 18961.35 | 32038615.4
CENTRAL | 2026-03-22 | 283030.11 | 32321645.51
CENTRAL | 2026-03-23 | -140028.76 | 32181616.75
CENTRAL | 2026-03-25 | 100918.98 | 32282535.73
CENTRAL | 2026-03-27 | 60937.07 | 32343472.8
CENTRAL | 2026-03-29 | 422479.36 | 32765952.16
CENTRAL | 2026-04-03 | 316821.98 | 33082774.14
CENTRAL | 2026-04-07 | 207197.73 | 33289971.87
CENTRAL | 2026-04-14 | -20058.04 | 33269913.83
CENTRAL | 2026-04-18 | 135977.88 | 33405891.71
CENTRAL | 2026-04-21 | 247698.92 | 33653590.63
CENTRAL | 2026-04-22 | 453168.39 | 34106759.02
CENTRAL | 2026-05-05 | 171793.75 | 34278552.77
CENTRAL | 2026-05-08 | 434200.01 | 34712752.78
CENTRAL | 2026-05-18 | 375797.33 | 35088550.11
CENTRAL | 2026-05-23 | 98049.06 | 35186599.17
CENTRAL | 2026-05-25 | 80102.79 | 35266701.96
CENTRAL | 2026-05-28 | 256759.12 | 35523461.08
CENTRAL | 2026-06-01 | 471508.03 | 35994969.11
CENTRAL | 2026-06-02 | 115522.49 | 36110491.6
CENTRAL | 2026-06-04 | 394714.89 | 36505206.49
CENTRAL | 2026-06-05 | 176013.2 | 36681219.69
CENTRAL | 2026-06-10 | 39038.33 | 36720258.02
CENTRAL | 2026-06-19 | 109524.15 | 36829782.17
CENTRAL | 2026-07-03 | 464779.5 | 37294561.67
CENTRAL | 2026-07-10 | 187386.91 | 37481948.58
CENTRAL | 2026-07-12 | 75920.67 | 37557869.25
CENTRAL | 2026-07-13 | 361530.75 | 37919400.0
CENTRAL | 2026-07-14 | 85670.5 | 38005070.5
CENTRAL | 2026-07-16 | 214671.69 | 38219742.19
CENTRAL | 2026-07-17 | 272291.0 | 38492033.19
CENTRAL | 2026-07-20 | 15928.34 | 38507961.53
CENTRAL | 2026-07-23 | 2445.06 | 38510406.59
CENTRAL | 2026-07-30 | 520506.15 | 39030912.74
EAST | 2024-01-05 | 501670.69 | 501670.69
EAST | 2024-01-09 | 120911.58 | 622582.27
EAST | 2024-01-13 | 430557.59 | 1053139.86
EAST | 2024-01-23 | 388889.49 | 1442029.35
EAST | 2024-01-27 | 21889.36 | 1463918.71
EAST | 2024-01-31 | 196591.31 | 1660510.02
EAST | 2024-02-07 | 98596.86 | 1759106.88
EAST | 2024-02-13 | 146040.26 | 1905147.14
EAST | 2024-02-15 | 282194.18 | 2187341.32
EAST | 2024-02-20 | 31546.44 | 2218887.76
EAST | 2024-02-24 | 102605.93 | 2321493.69
EAST | 2024-03-03 | 27083.28 | 2348576.97
EAST | 2024-03-09 | 22617.94 | 2371194.91
EAST | 2024-03-23 | -95787.4 | 2275407.51
EAST | 2024-03-25 | 136656.84 | 2412064.35
EAST | 2024-03-26 | 13474.11 | 2425538.46
EAST | 2024-03-30 | 450929.87 | 2876468.33
EAST | 2024-04-08 | 77966.39 | 2954434.72
EAST | 2024-04-26 | 26271.34 | 2980706.06
EAST | 2024-04-29 | 173576.27 | 3154282.33
EAST | 2024-04-30 | 150946.45 | 3305228.78
EAST | 2024-05-07 | 4354.61 | 3309583.39
EAST | 2024-05-13 | 50757.01 | 3360340.4
EAST | 2024-05-15 | 254392.85 | 3614733.25
EAST | 2024-05-19 | 368323.44 | 3983056.69
EAST | 2024-05-21 | 19518.42 | 4002575.11
EAST | 2024-05-26 | 176988.32 | 4179563.43
EAST | 2024-05-28 | 148616.93 | 4328180.36
EAST | 2024-06-17 | 420692.22 | 4748872.58
EAST | 2024-06-18 | 264286.23 | 5013158.81
EAST | 2024-06-19 | 39243.57 | 5052402.38
EAST | 2024-06-25 | 554311.1 | 5606713.48
EAST | 2024-07-03 | 348175.74 | 5954889.22
EAST | 2024-07-12 | 353798.07 | 6308687.29
EAST | 2024-07-17 | 360048.04 | 6668735.33
EAST | 2024-07-26 | 85927.0 | 6754662.33
EAST | 2024-07-27 | 105501.51 | 6860163.84
EAST | 2024-08-01 | 146002.55 | 7006166.39
EAST | 2024-08-02 | 229976.92 | 7236143.31
EAST | 2024-08-04 | 22789.89 | 7258933.2
EAST | 2024-08-08 | 275690.85 | 7534624.05
EAST | 2024-08-10 | 238615.77 | 7773239.82
EAST | 2024-08-11 | 74319.82 | 7847559.64
EAST | 2024-08-12 | 15246.17 | 7862805.81
EAST | 2024-08-15 | 166324.24 | 8029130.05
EAST | 2024-08-27 | 42776.48 | 8071906.53
EAST | 2024-09-04 | 142099.11 | 8214005.64
EAST | 2024-09-14 | 46225.46 | 8260231.1
EAST | 2024-09-16 | 125085.63 | 8385316.73
EAST | 2024-09-20 | 297459.41 | 8682776.14
EAST | 2024-09-23 | 307840.5 | 8990616.64
EAST | 2024-10-03 | 520229.53 | 9510846.17
EAST | 2024-10-04 | 208254.52 | 9719100.69
EAST | 2024-10-16 | 98960.47 | 9818061.16
EAST | 2024-10-18 | 116924.94 | 9934986.1
EAST | 2024-10-21 | 286375.35 | 10221361.45
EAST | 2024-10-26 | 114105.95 | 10335467.4
EAST | 2024-11-05 | 887536.55 | 11223003.95
EAST | 2024-11-14 | 249033.64 | 11472037.59
EAST | 2024-11-15 | 102071.19 | 11574108.78
EAST | 2024-11-18 | 144047.81 | 11718156.59
EAST | 2024-11-19 | 123284.38 | 11841440.97
EAST | 2024-11-21 | 224416.36 | 12065857.33
EAST | 2024-11-23 | 82899.67 | 12148757.0
EAST | 2024-11-28 | 186898.06 | 12335655.06
EAST | 2024-11-29 | 302360.28 | 12638015.34
EAST | 2024-11-30 | 252869.67 | 12890885.01
EAST | 2024-12-09 | 64525.78 | 12955410.79
EAST | 2024-12-14 | 207703.27 | 13163114.06
EAST | 2024-12-22 | 32257.11 | 13195371.17
EAST | 2025-01-05 | 102441.23 | 13297812.4
EAST | 2025-01-26 | 204990.95 | 13502803.35
EAST | 2025-02-03 | 23998.39 | 13526801.74
EAST | 2025-02-10 | 382428.77 | 13909230.51
EAST | 2025-02-26 | 361360.37 | 14270590.88
EAST | 2025-02-27 | 73901.6 | 14344492.48
EAST | 2025-03-15 | 340750.62 | 14685243.1
EAST | 2025-03-17 | 288381.14 | 14973624.24
EAST | 2025-03-24 | 305979.08 | 15279603.32
EAST | 2025-03-26 | 200929.95 | 15480533.27
EAST | 2025-04-03 | 142507.71 | 15623040.98
EAST | 2025-04-14 | 40672.45 | 15663713.43
EAST | 2025-04-18 | 589801.32 | 16253514.75
EAST | 2025-04-27 | 6726.2 | 16260240.95
EAST | 2025-05-02 | 203932.3 | 16464173.25
EAST | 2025-05-05 | 14033.8 | 16478207.05
EAST | 2025-05-16 | 226086.74 | 16704293.79
EAST | 2025-05-21 | 229220.37 | 16933514.16
EAST | 2025-05-25 | 44219.21 | 16977733.37
EAST | 2025-05-26 | 42720.49 | 17020453.86
EAST | 2025-05-30 | 112064.09 | 17132517.95
EAST | 2025-05-31 | 168592.08 | 17301110.03
EAST | 2025-06-14 | 120483.75 | 17421593.78
EAST | 2025-06-19 | 80283.49 | 17501877.27
EAST | 2025-06-23 | 132678.94 | 17634556.21
EAST | 2025-07-01 | 387026.57 | 18021582.78
EAST | 2025-07-09 | 307543.38 | 18329126.16
EAST | 2025-07-13 | 463098.34 | 18792224.5
EAST | 2025-07-18 | 47395.28 | 18839619.78
EAST | 2025-07-24 | 152141.33 | 18991761.11
EAST | 2025-07-28 | 381087.34 | 19372848.45
EAST | 2025-07-31 | 585350.88 | 19958199.33
EAST | 2025-08-05 | 18842.53 | 19977041.86
EAST | 2025-08-09 | 183008.79 | 20160050.65
EAST | 2025-08-10 | 94106.41 | 20254157.06
EAST | 2025-08-18 | 207509.35 | 20461666.41
EAST | 2025-08-27 | 136133.59 | 20597800.0
EAST | 2025-08-29 | 581914.86 | 21179714.86
EAST | 2025-08-31 | 498324.07 | 21678038.93
EAST | 2025-09-04 | 328484.01 | 22006522.94
EAST | 2025-09-18 | 184309.53 | 22190832.47
EAST | 2025-09-22 | 338622.81 | 22529455.28
EAST | 2025-10-05 | 152135.79 | 22681591.07
EAST | 2025-10-07 | 341369.91 | 23022960.98
EAST | 2025-10-11 | 10745.49 | 23033706.47
EAST | 2025-10-15 | 65356.59 | 23099063.06
EAST | 2025-10-16 | 224544.42 | 23323607.48
EAST | 2025-10-18 | 226960.91 | 23550568.39
EAST | 2025-10-28 | 280129.59 | 23830697.98
EAST | 2025-11-04 | 153469.65 | 23984167.63
EAST | 2025-11-13 | 632656.61 | 24616824.24
EAST | 2025-11-17 | 284181.71 | 24901005.95
EAST | 2025-11-19 | 97395.39 | 24998401.34
EAST | 2025-11-25 | 356469.35 | 25354870.69
EAST | 2025-11-26 | 81124.88 | 25435995.57
EAST | 2025-11-27 | 558077.54 | 25994073.11
EAST | 2025-12-08 | 133129.09 | 26127202.2
EAST | 2025-12-19 | 29330.7 | 26156532.9
EAST | 2025-12-26 | 44675.78 | 26201208.68
EAST | 2026-01-08 | 148879.28 | 26350087.96
EAST | 2026-01-12 | 184672.24 | 26534760.2
EAST | 2026-01-20 | 443402.65 | 26978162.85
EAST | 2026-01-21 | -32010.96 | 26946151.89
EAST | 2026-01-31 | 166502.31 | 27112654.2
EAST | 2026-02-13 | 255812.98 | 27368467.18
EAST | 2026-02-15 | 157745.93 | 27526213.11
EAST | 2026-02-16 | 390286.46 | 27916499.57
EAST | 2026-02-20 | 95084.7 | 28011584.27
EAST | 2026-03-20 | 83809.87 | 28095394.14
EAST | 2026-04-03 | 294690.27 | 28390084.41
EAST | 2026-04-04 | 315373.21 | 28705457.62
EAST | 2026-04-07 | 172383.08 | 28877840.7
EAST | 2026-04-09 | 227519.99 | 29105360.69
EAST | 2026-04-12 | 284988.05 | 29390348.74
EAST | 2026-04-17 | 64488.79 | 29454837.53
EAST | 2026-04-23 | 40016.97 | 29494854.5
EAST | 2026-04-27 | 307110.39 | 29801964.89
EAST | 2026-05-04 | 176759.72 | 29978724.61
EAST | 2026-05-10 | 151386.54 | 30130111.15
EAST | 2026-05-24 | 117388.01 | 30247499.16
EAST | 2026-06-17 | 942455.72 | 31189954.88
EAST | 2026-06-19 | 155711.3 | 31345666.18
EAST | 2026-07-02 | 409261.91 | 31754928.09
EAST | 2026-07-06 | 165710.24 | 31920638.33
EAST | 2026-07-09 | 21416.77 | 31942055.1
EAST | 2026-07-19 | 232106.3 | 32174161.4
EAST | 2026-07-30 | 87000.78 | 32261162.18
NORTH | 2024-01-06 | 67872.31 | 67872.31
NORTH | 2024-01-08 | 22251.66 | 90123.97
NORTH | 2024-01-14 | 333797.09 | 423921.06
NORTH | 2024-01-15 | 26735.7 | 450656.76
NORTH | 2024-01-26 | 23228.39 | 473885.15
NORTH | 2024-01-28 | 215021.8 | 688906.95
NORTH | 2024-01-31 | 132430.87 | 821337.82
NORTH | 2024-02-03 | 132151.06 | 953488.88
NORTH | 2024-02-05 | 137088.97 | 1090577.85
NORTH | 2024-02-08 | 233981.58 | 1324559.43
NORTH | 2024-02-10 | 120863.6 | 1445423.03
NORTH | 2024-02-16 | 356065.98 | 1801489.01
NORTH | 2024-02-19 | 71007.26 | 1872496.27
NORTH | 2024-02-29 | 132697.97 | 2005194.24
NORTH | 2024-04-09 | 62528.03 | 2067722.27
NORTH | 2024-04-12 | 40701.96 | 2108424.23
NORTH | 2024-04-16 | 55883.18 | 2164307.41
NORTH | 2024-04-23 | 142741.58 | 2307048.99
NORTH | 2024-05-06 | 240281.44 | 2547330.43
NORTH | 2024-05-16 | 926283.21 | 3473613.64
NORTH | 2024-05-21 | 193134.44 | 3666748.08
NORTH | 2024-05-29 | 337789.26 | 4004537.34
NORTH | 2024-06-07 | 43621.02 | 4048158.36
NORTH | 2024-06-08 | 515577.18 | 4563735.54
NORTH | 2024-06-11 | 130597.48 | 4694333.02
NORTH | 2024-06-12 | 241071.97 | 4935404.99
NORTH | 2024-06-13 | 239978.84 | 5175383.83
NORTH | 2024-06-14 | 122649.83 | 5298033.66
NORTH | 2024-06-18 | 78672.99 | 5376706.65
NORTH | 2024-06-23 | 130427.93 | 5507134.58
NORTH | 2024-06-26 | 176274.22 | 5683408.8
NORTH | 2024-06-27 | 24858.99 | 5708267.79
NORTH | 2024-07-02 | 128440.69 | 5836708.48
NORTH | 2024-07-07 | 22027.04 | 5858735.52
NORTH | 2024-07-12 | 222223.02 | 6080958.54
NORTH | 2024-07-17 | 110873.21 | 6191831.75
NORTH | 2024-07-23 | 19976.37 | 6211808.12
NORTH | 2024-07-24 | 515528.39 | 6727336.51
NORTH | 2024-07-27 | 103395.99 | 6830732.5
NORTH | 2024-08-01 | -9248.48 | 6821484.02
NORTH | 2024-08-04 | 267906.86 | 7089390.88
NORTH | 2024-08-21 | 1772.47 | 7091163.35
NORTH | 2024-08-24 | 90754.95 | 7181918.3
NORTH | 2024-08-25 | 132148.3 | 7314066.6
NORTH | 2024-08-30 | 748095.14 | 8062161.74
NORTH | 2024-08-31 | 69139.65 | 8131301.39
NORTH | 2024-09-12 | -91230.33 | 8040071.06
NORTH | 2024-09-18 | 529424.14 | 8569495.2
NORTH | 2024-10-11 | -44459.98 | 8525035.22
NORTH | 2024-10-18 | 41763.06 | 8566798.28
NORTH | 2024-10-26 | 376737.16 | 8943535.44
NORTH | 2024-10-28 | 310242.57 | 9253778.01
NORTH | 2024-10-29 | 35124.4 | 9288902.41
NORTH | 2024-10-30 | 191710.49 | 9480612.9
NORTH | 2024-11-04 | 311050.51 | 9791663.41
NORTH | 2024-11-07 | 437586.92 | 10229250.33
NORTH | 2024-11-08 | 192241.82 | 10421492.15
NORTH | 2024-11-28 | 342849.99 | 10764342.14
NORTH | 2024-11-30 | 184930.52 | 10949272.66
NORTH | 2024-12-08 | 186196.04 | 11135468.7
NORTH | 2024-12-16 | 208118.12 | 11343586.82
NORTH | 2024-12-17 | 338977.58 | 11682564.4
NORTH | 2024-12-18 | 160038.76 | 11842603.16
NORTH | 2024-12-24 | 253444.45 | 12096047.61
NORTH | 2024-12-27 | 308117.16 | 12404164.77
NORTH | 2025-01-07 | 31073.26 | 12435238.03
NORTH | 2025-01-27 | 11225.43 | 12446463.46
NORTH | 2025-01-28 | 178046.08 | 12624509.54
NORTH | 2025-01-30 | 34404.45 | 12658913.99
NORTH | 2025-02-03 | 406078.6 | 13064992.59
NORTH | 2025-02-04 | 575646.02 | 13640638.61
NORTH | 2025-02-05 | 86519.96 | 13727158.57
NORTH | 2025-02-07 | 383348.26 | 14110506.83
NORTH | 2025-02-08 | 137032.01 | 14247538.84
NORTH | 2025-02-13 | 264394.19 | 14511933.03
NORTH | 2025-02-19 | 767264.01 | 15279197.04
NORTH | 2025-02-22 | 284372.17 | 15563569.21
NORTH | 2025-02-27 | 5353.32 | 15568922.53
NORTH | 2025-03-01 | 585150.55 | 16154073.08
NORTH | 2025-03-09 | 350746.33 | 16504819.41
NORTH | 2025-03-13 | 65623.67 | 16570443.08
NORTH | 2025-03-15 | -2175.98 | 16568267.1
NORTH | 2025-03-21 | 112159.23 | 16680426.33
NORTH | 2025-03-26 | 190149.97 | 16870576.3
NORTH | 2025-04-01 | 85889.83 | 16956466.13
NORTH | 2025-04-02 | 110909.7 | 17067375.83
NORTH | 2025-04-03 | 233519.64 | 17300895.47
NORTH | 2025-04-12 | 79215.82 | 17380111.29
NORTH | 2025-04-13 | 685893.37 | 18066004.66
NORTH | 2025-04-16 | 19767.41 | 18085772.07
NORTH | 2025-04-25 | 197087.38 | 18282859.45
NORTH | 2025-04-29 | 23274.95 | 18306134.4
NORTH | 2025-04-30 | 344696.98 | 18650831.38
NORTH | 2025-05-02 | 484504.67 | 19135336.05
NORTH | 2025-05-03 | 130955.41 | 19266291.46
NORTH | 2025-05-04 | 736967.25 | 20003258.71
NORTH | 2025-05-07 | 434847.74 | 20438106.45
NORTH | 2025-05-08 | 180853.12 | 20618959.57
NORTH | 2025-05-11 | 90765.04 | 20709724.61
NORTH | 2025-05-15 | 171724.57 | 20881449.18
NORTH | 2025-05-27 | 316665.77 | 21198114.95
NORTH | 2025-05-29 | 331309.2 | 21529424.15
NORTH | 2025-06-08 | 394353.57 | 21923777.72
NORTH | 2025-06-15 | 80073.8 | 22003851.52
NORTH | 2025-06-23 | 160743.88 | 22164595.4
NORTH | 2025-06-28 | 147614.69 | 22312210.09
NORTH | 2025-06-30 | 105207.51 | 22417417.6
NORTH | 2025-07-01 | 16421.95 | 22433839.55
NORTH | 2025-07-04 | 67995.66 | 22501835.21
NORTH | 2025-07-06 | 36590.07 | 22538425.28
NORTH | 2025-07-10 | 179509.3 | 22717934.58
NORTH | 2025-07-11 | 104587.21 | 22822521.79
NORTH | 2025-07-15 | 447590.06 | 23270111.85
NORTH | 2025-07-21 | 265817.89 | 23535929.74
NORTH | 2025-07-24 | 353489.42 | 23889419.16
NORTH | 2025-07-25 | 353090.4 | 24242509.56
NORTH | 2025-07-27 | 348083.04 | 24590592.6
NORTH | 2025-08-06 | 418735.28 | 25009327.88
NORTH | 2025-08-08 | 3159.01 | 25012486.89
NORTH | 2025-08-15 | 92622.69 | 25105109.58
NORTH | 2025-08-20 | 251069.39 | 25356178.97
NORTH | 2025-08-30 | 242153.19 | 25598332.16
NORTH | 2025-09-19 | 154483.66 | 25752815.82
NORTH | 2025-09-25 | 21717.39 | 25774533.21
NORTH | 2025-09-30 | 148350.34 | 25922883.55
NORTH | 2025-10-04 | 48868.48 | 25971752.03
NORTH | 2025-10-08 | 439812.52 | 26411564.55
NORTH | 2025-10-18 | 236014.8 | 26647579.35
NORTH | 2025-10-20 | 110585.94 | 26758165.29
NORTH | 2025-10-25 | 285560.09 | 27043725.38
NORTH | 2025-10-28 | 150688.84 | 27194414.22
NORTH | 2025-11-05 | 35964.71 | 27230378.93
